experiment,time_s,follower,cell,artifact_id,q_seg_max,qdot_seg_max,u_dot_bound,amplitude_guard_pass,slew_guard_pass,domain_pass,artifact_valid,lmi_margin_pass,effective_delay_mode_pass,authority
migration,0.24,2,C1,C1_SHARED_CERT_001,0.155976724846,0.704006408202,19217.0937321,1,1,1,1,1,1,N
migration,0.24,3,C1,C1_SHARED_CERT_001,0.156772168528,0.707518493852,22531.7915303,1,1,1,1,1,1,N
migration,0.24,4,C1,C1_SHARED_CERT_001,0.155337887912,0.700661146711,17531.9741964,1,1,1,1,1,1,N
migration,0.26,1,C1,C1_SHARED_CERT_001,0.170167418758,0.669117364401,15222.5946963,1,1,1,1,1,1,N
migration,0.26,2,C1,C1_SHARED_CERT_001,0.169038379677,0.6530890455,17829.8551974,1,1,1,1,1,1,N
migration,0.26,3,C1,C1_SHARED_CERT_001,0.169898395525,0.656317675727,20904.3357085,1,1,1,1,1,1,N
migration,0.26,4,C1,C1_SHARED_CERT_001,0.16833450185,0.649837046255,16262.663962,1,1,1,1,1,1,N
migration,0.28,1,C1,C1_SHARED_CERT_001,0.183182801953,0.650772880406,14806.8510993,1,1,1,1,1,1,N
migration,0.28,2,C1,C1_SHARED_CERT_001,0.181660632247,0.631117936973,17232.0122959,1,1,1,1,1,1,N
migration,0.28,3,C1,C1_SHARED_CERT_001,0.18258259241,0.634215169897,20202.6793393,1,1,1,1,1,1,N
migration,0.28,4,C1,C1_SHARED_CERT_001,0.180891622458,0.627861390557,15714.5211468,1,1,1,1,1,1,N
migration,0.30,1,C1,C1_SHARED_CERT_001,0.196357895692,0.658757478123,14989.5101597,1,1,1,1,1,1,N
migration,0.30,2,C1,C1_SHARED_CERT_001,0.194373299885,0.63563801244,17356.6660381,1,1,1,1,1,1,N
migration,0.30,3,C1,C1_SHARED_CERT_001,0.195357320782,0.638741063021,20348.3016661,1,1,1,1,1,1,N
migration,0.30,4,C1,C1_SHARED_CERT_001,0.193537206092,0.632283872597,15826.3405712,1,1,1,1,1,1,N
migration,0.32,1,C1,C1_SHARED_CERT_001,0.209676815504,0.665947884418,15154.1324159,1,1,1,1,1,1,N
migration,0.32,2,C1,C1_SHARED_CERT_001,0.20716066709,0.639372348659,17459.8986308,1,1,1,1,1,1,N
migration,0.32,3,C1,C1_SHARED_CERT_001,0.208206739529,0.642474936458,20468.7328187,1,1,1,1,1,1,N
migration,0.32,4,C1,C1_SHARED_CERT_001,0.206255569925,0.635922248728,15918.5645845,1,1,1,1,1,1,N
migration,0.34,1,C1,C1_SHARED_CERT_001,0.223127726518,0.672546585729,15305.3187625,1,1,1,1,1,1,N
migration,0.34,2,C1,C1_SHARED_CERT_001,0.220012165291,0.642578294542,17548.7275344,1,1,1,1,1,1,N
migration,0.34,3,C1,C1_SHARED_CERT_001,0.221120215727,0.645677202353,20572.2572922,1,1,1,1,1,1,N
migration,0.34,4,C1,C1_SHARED_CERT_001,0.2190362036,0.63903514478,15997.6577875,1,1,1,1,1,1,N
migration,0.36,1,C1,C1_SHARED_CERT_001,0.236672587349,0.677243260109,15413.2857167,1,1,1,1,1,1,N
migration,0.36,2,C1,C1_SHARED_CERT_001,0.232893766275,0.644082862165,17591.1584779,1,1,1,1,1,1,N
migration,0.36,3,C1,C1_SHARED_CERT_001,0.234063542867,0.647169175344,20621.3671329,1,1,1,1,1,1,N
migration,0.36,4,C1,C1_SHARED_CERT_001,0.231845271324,0.640456282885,16034.459869,1,1,1,1,1,1,N
migration,0.38,1,C1,C1_SHARED_CERT_001,0.250219826149,0.677362485503,15417.2199544,1,1,1,1,1,1,N
migration,0.38,2,C1,C1_SHARED_CERT_001,0.245717741385,0.641201022115,17513.9538705,1,1,1,1,1,1,N
